Simulation Number,Served Customers,Lost Customers,Unserved at Timeout,Failure Count,Avg Service Time (min),Avg Failure Duration (min),mean_arrival_time,std_arrival_time,min_arrival_time,mean_service_time,slow_mean_service_time_first,slow_mean_service_time_next,std_service_time,min_service_time,max_service_time,failure_shape,failure_scale,failure_alpha,failure_beta,failure_min_time,failure_max_time
1,149,13,82,1,3.096351848394252,10.655904414709873,2.0,0.5,0.5,3.0,6.0,4.0,2.0,1.0,8.0,3.0,120.0,2.0,5.0,5.0,20.0
2,135,97,91,2,3.4160541875475094,7.5650603792230235,1.5,0.3,0.3,3.0,6.0,4.0,2.0,1.0,8.0,3.0,120.0,2.0,5.0,5.0,20.0
3,185,0,55,0,2.5794416701844907,0,2.0,0.5,0.5,2.5,5.0,3.5,1.5,0.8,7.0,3.0,120.0,2.0,5.0,5.0,20.0
4,150,32,55,1,3.128337158860159,7.253782730768935,2.0,0.5,0.5,3.0,6.0,4.0,2.0,1.0,8.0,2.5,100.0,2.0,5.0,5.0,20.0
5,151,0,95,0,3.1689535978169157,0,2.0,0.5,0.5,3.0,6.0,4.0,2.0,1.0,8.0,3.0,120.0,1.8,4.5,4.0,18.0
6,144,26,50,1,3.2110002589840354,14.066076093588103,2.2,0.6,0.6,3.0,6.0,4.0,2.0,1.0,8.0,3.0,120.0,2.0,5.0,5.0,20.0
7,128,8,105,1,3.6611005453830683,5.340500798731653,2.0,0.5,0.5,3.2,6.5,4.5,2.2,1.2,9.0,3.0,120.0,2.0,5.0,5.0,20.0
8,126,26,84,1,3.7270666903036327,7.055159403803212,2.0,0.5,0.5,3.0,6.0,4.0,2.0,1.0,8.0,3.2,130.0,2.0,5.0,5.0,20.0
9,147,17,77,1,3.132756844894958,12.779648935792626,2.0,0.5,0.5,3.0,6.0,4.0,2.0,1.0,8.0,3.0,120.0,2.2,5.5,6.0,22.0
10,139,54,73,1,3.335801691257383,9.77338566348958,1.8,0.4,0.4,3.0,6.0,4.0,2.0,1.0,8.0,3.0,120.0,2.0,5.0,5.0,20.0
11,148,0,150,0,3.228943398550818,0,1.6,0.2,0.2,3.0,6.0,4.0,2.0,1.0,8.0,3.0,120.0,2.0,5.0,5.0,20.0
12,142,30,64,1,3.299746215887128,6.678984228921578,2.0,0.5,0.5,3.0,7.0,5.0,2.0,1.0,10.0,3.0,120.0,2.0,5.0,5.0,20.0
13,140,41,56,1,3.34026368485306,9.593455159052272,2.0,0.5,0.5,3.0,6.0,4.0,2.0,1.0,8.0,2.8,110.0,2.0,5.0,5.0,20.0
14,138,56,43,2,3.2812234709258132,9.511669959202548,2.0,0.5,0.5,3.0,6.0,4.0,2.0,1.0,8.0,3.0,120.0,2.0,5.0,5.0,20.0
15,147,24,68,1,3.1675457950877886,8.493790282784301,2.0,0.5,0.5,3.0,6.0,4.0,2.0,1.0,8.0,3.0,120.0,2.0,5.0,5.0,20.0
16,133,40,67,1,3.5112793388998704,9.822509399785735,2.0,0.5,0.5,3.5,6.0,4.0,1.8,1.0,8.5,3.0,120.0,2.0,5.0,5.0,20.0
17,146,0,85,0,3.267989677385344,0,2.0,0.5,0.5,3.0,6.0,4.0,2.0,1.0,8.0,3.0,120.0,2.0,5.0,5.0,20.0
18,145,28,68,1,3.1283988179992326,16.527883549225802,2.0,0.5,0.5,3.0,6.0,4.0,2.0,1.0,8.0,3.0,120.0,2.5,6.0,7.0,25.0
19,151,30,104,1,3.069867418162923,11.882537886002819,1.7,0.3,0.3,3.0,6.0,4.0,2.0,1.0,8.0,3.0,120.0,2.0,5.0,5.0,20.0
20,168,0,73,0,2.844819160817885,0,2.0,0.5,0.5,2.8,5.5,3.8,1.6,0.9,7.5,3.0,120.0,2.0,5.0,5.0,20.0
